Year,Month,Council,Applications,Assessments,pop
2004,7,Angus,135,75,110170
2004,8,Angus,160,70,110170
2004,9,Angus,150,90,110170
2004,10,Angus,125,110,110170
2004,11,Angus,105,80,110170
2004,12,Angus,100,55,110170
2005,1,Angus,105,60,111340
2005,2,Angus,130,65,111340
2005,3,Angus,135,85,111340
2005,4,Angus,90,70,111340
2005,5,Angus,120,80,111340
2005,6,Angus,105,65,111340
2005,7,Angus,95,40,111340
2005,8,Angus,65,45,111340
2005,9,Angus,135,85,111340
2005,10,Angus,105,95,111340
2005,11,Angus,90,95,111340
2005,12,Angus,95,55,111340
2006,1,Angus,145,60,112500
2006,2,Angus,100,70,112500
2006,3,Angus,125,130,112500
2006,4,Angus,105,55,112500
2006,5,Angus,135,120,112500
2006,6,Angus,115,70,112500
2006,7,Angus,90,70,112500
2006,8,Angus,140,75,112500
2006,9,Angus,85,70,112500
2006,10,Angus,95,85,112500
2006,11,Angus,75,90,112500
2006,12,Angus,55,55,112500
2007,1,Angus,85,70,113540
2007,2,Angus,75,70,113540
2007,3,Angus,30,85,113540
2007,4,Angus,180,80,113540
2007,5,Angus,120,95,113540
2007,6,Angus,125,80,113540
2007,7,Angus,75,85,113540
2007,8,Angus,115,55,113540
2007,9,Angus,80,40,113540
2007,10,Angus,110,70,113540
2007,11,Angus,105,115,113540
2007,12,Angus,55,95,113540
2008,1,Angus,110,90,114490
2008,2,Angus,115,80,114490
2008,3,Angus,105,85,114490
2008,4,Angus,110,80,114490
2008,5,Angus,90,80,114490
2008,6,Angus,100,65,114490
2008,7,Angus,100,120,114490
2008,8,Angus,110,65,114490
2008,9,Angus,110,70,114490
2008,10,Angus,85,75,114490
2008,11,Angus,70,80,114490
2008,12,Angus,75,45,114490
2009,1,Angus,95,65,114830
2009,2,Angus,95,100,114830
2009,3,Angus,120,75,114830
2009,4,Angus,90,105,114830
2009,5,Angus,105,75,114830
2009,6,Angus,85,65,114830
2009,7,Angus,100,100,114830
2009,8,Angus,80,65,114830
2009,9,Angus,85,85,114830
2009,10,Angus,110,70,114830
2009,11,Angus,75,45,114830
2009,12,Angus,100,65,114830
2010,1,Angus,110,80,115410
2010,2,Angus,115,90,115410
2010,3,Angus,120,105,115410
2010,4,Angus,90,70,115410
2010,5,Angus,80,75,115410
2010,6,Angus,90,130,115410
2010,7,Angus,105,90,115410
2010,8,Angus,105,90,115410
2010,9,Angus,90,65,115410
2010,10,Angus,90,85,115410
2010,11,Angus,95,90,115410
2010,12,Angus,80,65,115410
2011,1,Angus,115,80,116200
2011,2,Angus,130,65,116200
2011,3,Angus,125,95,116200
2011,4,Angus,110,65,116200
2011,5,Angus,115,90,116200
2011,6,Angus,105,95,116200
2011,7,Angus,95,80,116200
2011,8,Angus,115,75,116200
2011,9,Angus,110,90,116200
2011,10,Angus,95,85,116200
2011,11,Angus,110,65,116200
2011,12,Angus,70,70,116200
2012,1,Angus,105,85,116220
2012,2,Angus,80,85,116220
2012,3,Angus,95,85,116220
2012,4,Angus,75,60,116220
2012,5,Angus,80,60,116220
2012,6,Angus,55,65,116220
2012,7,Angus,50,60,116220
2012,8,Angus,75,60,116220
2012,9,Angus,55,55,116220
2012,10,Angus,75,60,116220
2012,11,Angus,60,55,116220
2012,12,Angus,50,40,116220
2013,1,Angus,70,55,116290
2013,2,Angus,80,65,116290
2013,3,Angus,65,65,116290
2013,4,Angus,75,65,116290
2013,5,Angus,65,60,116290
2013,6,Angus,50,40,116290
2013,7,Angus,50,55,116290
2013,8,Angus,60,55,116290
2013,9,Angus,65,55,116290
2013,10,Angus,50,45,116290
2013,11,Angus,50,45,116290
2013,12,Angus,45,40,116290
2014,1,Angus,65,55,116740
2014,2,Angus,45,40,116740
2014,3,Angus,70,55,116740
2014,4,Angus,50,60,116740
2014,5,Angus,60,50,116740
2014,6,Angus,50,50,116740
2014,7,Angus,60,60,116740
2014,8,Angus,65,35,116740
2014,9,Angus,60,55,116740
2014,10,Angus,55,50,116740
2014,11,Angus,50,45,116740
2014,12,Angus,65,45,116740
2015,1,Angus,65,45,116900
2015,2,Angus,55,45,116900
2015,3,Angus,65,55,116900
2015,4,Angus,65,50,116900
2015,5,Angus,65,55,116900
2015,6,Angus,65,60,116900
2015,7,Angus,60,55,116900
2015,8,Angus,65,55,116900
2015,9,Angus,80,75,116900
2015,10,Angus,75,60,116900
2015,11,Angus,75,75,116900
2015,12,Angus,70,80,116900
2016,1,Angus,50,45,116520
2016,2,Angus,90,65,116520
2016,3,Angus,85,65,116520
2016,4,Angus,75,45,116520
2016,5,Angus,55,50,116520
2016,6,Angus,65,50,116520
2016,7,Angus,60,45,116520
2016,8,Angus,75,60,116520
2016,9,Angus,60,50,116520
2016,10,Angus,55,55,116520
2016,11,Angus,55,55,116520
2016,12,Angus,50,45,116520
2017,1,Angus,65,45,116280
2017,2,Angus,75,60,116280
2017,3,Angus,75,60,116280
2017,4,Angus,55,50,116280
2017,5,Angus,70,70,116280
2017,6,Angus,50,40,116280
2017,7,Angus,70,50,116280
2017,8,Angus,75,75,116280
2017,9,Angus,65,45,116280
2017,10,Angus,60,45,116280
2017,11,Angus,65,55,116280
2017,12,Angus,40,30,116280
2018,1,Angus,75,45,116040
2018,2,Angus,75,50,116040
2018,3,Angus,55,50,116040
2018,4,Angus,60,55,116040
2018,5,Angus,70,60,116040
2018,6,Angus,55,55,116040
2018,7,Angus,50,40,116040
2018,8,Angus,60,55,116040
2018,9,Angus,50,40,116040
2018,10,Angus,80,60,116040
2018,11,Angus,60,50,116040
2018,12,Angus,45,40,116040
